id	starts	ends	duration	label	conn_label	pname
1	40327	40706.5545	379.554499999991	ecog_133	conn3	ecog_h_gamma
2	40327	40706.5545	379.554499999991	ecog_135	conn3	ecog_h_gamma
3	40327	40706.5545	379.554499999991	ecog_203	conn5	ecog_h_gamma
4	40327	40706.5545	379.554499999991	ecog_204	conn5	ecog_h_gamma
5	40336.7505	40370.72882	33.978320000002	ecog_102	conn1	ecog_h_gamma
6	40336.7505	40341.7505	5	ecog_103	conn1	ecog_h_gamma
7	40336.7505	40340.7505	4	ecog_138	conn3	ecog_h_gamma
8	40336.7505	40344.7505	8	ecog_202	conn5	ecog_h_gamma
9	40337.7505	40340.7505	3	macro_p	conn0	macro_h_gamma
10	40338.7505	40341.7505	3	ecog_101	conn1	ecog_h_gamma
11	40338.7505	40341.7505	3	ecog_137	conn3	ecog_h_gamma
12	40338.7505	40340.7505	2	ecog_139	conn3	ecog_h_gamma
13	40338.7505	40340.7505	2	ecog_143	conn3	ecog_h_gamma
14	40338.7505	40341.7505	3	ecog_153	conn4	ecog_h_gamma
15	40338.7505	40340.7505	2	macro_a	conn0	macro_h_gamma
16	40343.7505	40349.7375	5.98700000000827	ecog_138	conn3	ecog_h_gamma
17	40344.7505	40346.7505	2	ecog_160	conn4	ecog_h_gamma
18	40345.7505	40349.7375	3.98700000000827	ecog_152	conn4	ecog_h_gamma
19	40345.7505	40350.7375	4.98700000000827	ecog_153	conn4	ecog_h_gamma
20	40360.7375	40382.7245	21.9869999999937	ecog_134	conn3	ecog_h_gamma
21	40365.7375	40380.72543	14.9879299999957	ecog_202	conn5	ecog_h_gamma
22	40372.7235	40375.72424	3.00074000000313	ecog_136	conn3	ecog_h_gamma
23	40372.7235	40378.7255	6.00200000000768	ecog_137	conn3	ecog_h_gamma
24	40373.7235	40377.7255	4.00200000000768	ecog_107	conn1	ecog_h_gamma
25	40373.7235	40377.7255	4.00200000000768	ecog_108	conn1	ecog_h_gamma
26	40373.7235	40379.7255	6.00200000000768	macro_p	conn0	macro_h_gamma
27	40375.7255	40377.7255	2	ecog_160	conn4	ecog_h_gamma
28	40376.7255	40387.71162	10.9861200000014	ecog_102	conn1	ecog_h_gamma
