id	starts	ends	duration	label	conn_label	pname
1	40993.3259980927	41720.1779980927	726.851999999999	macro_c	conn  0	macro_h_gamma
2	41000.0535	41037.0285	36.9749999999985	ecog_145	conn  3	ecog_h_gamma
3	41000.0535	41015.0475	14.9940000000061	macro_p	conn  0	macro_h_gamma
4	41006.0535	41009.05326	2.99975999999879	ecog_163	conn  4	ecog_h_gamma
5	41007.0535	41009.05326	1.99975999999879	ecog_206	conn  5	ecog_h_gamma
6	41007.0535	41009.05326	1.99975999999879	ecog_226	conn  6	ecog_h_gamma
7	41007.0535	41009.05326	1.99975999999879	ecog_227	conn  6	ecog_h_gamma
8	41007.0535	41009.05326	1.99975999999879	ecog_228	conn  6	ecog_h_gamma
9	41007.0535	41009.05326	1.99975999999879	ecog_247	conn  7	ecog_h_gamma
10	41007.0535	41009.05326	1.99975999999879	ecog_248	conn  7	ecog_h_gamma
11	41008.05326	41012.0475	3.99424000000727	ecog_233	conn  7	ecog_h_gamma
12	41009.0475	41011.0475	2	ecog_125	conn  2	ecog_h_gamma
13	41010.0475	41012.0475	2	macro_m	conn  0	macro_h_gamma
14	41021.0475	41025.0415	3.99399999999878	ecog_163	conn  4	ecog_h_gamma
15	41021.0475	41023.04216	1.99465999999666	ecog_233	conn  7	ecog_h_gamma
16	41025.0415	41035.0415	10	macro_p	conn  0	macro_h_gamma
17	41026.0415	41035.0415	9	macro_m	conn  0	macro_h_gamma
18	41029.0415	41035.0415	6	ecog_163	conn  4	ecog_h_gamma
19	41029.0415	41035.0415	6	ecog_223	conn  6	ecog_h_gamma
20	41029.0415	41037.0285	7.98699999999371	ecog_233	conn  7	ecog_h_gamma
21	41034.0415	41036.03149	1.98998999999458	ecog_125	conn  2	ecog_h_gamma
22	41040.0285	41042.0287	2.00020000000222	ecog_240	conn  7	ecog_h_gamma
23	41040.0285	41042.0287	2.00020000000222	ecog_262	conn  8	ecog_h_gamma
24	41048.0295	41050.0295	2	macro_p	conn  0	macro_h_gamma
25	41059.01468	41061.0095	1.99481999999261	ecog_233	conn  7	ecog_h_gamma
26	41072.0045	41074.0045	2	ecog_163	conn  4	ecog_h_gamma
27	41077.0005	41080.0005	3	ecog_249	conn  8	ecog_h_gamma
28	41083.9965	41085.9965	2	ecog_163	conn  4	ecog_h_gamma
29	41084.9965	41086.9965	2	ecog_108	conn  1	ecog_h_gamma
30	41084.9965	41086.9965	2	ecog_125	conn  2	ecog_h_gamma
31	41084.9965	41089.9945	4.99799999999232	ecog_233	conn  7	ecog_h_gamma
32	41096.9945	41098.9945	2	ecog_233	conn  7	ecog_h_gamma
33	41099.9905	41102.9905	3	ecog_140	conn  3	ecog_h_gamma
34	41106.9875	41108.9875	2	ecog_253	conn  8	ecog_h_gamma
35	41115.96838	41118.9675	2.9991200000004	ecog_233	conn  7	ecog_h_gamma
36	41117.9675	41135.9495	17.9819999999963	ecog_145	conn  3	ecog_h_gamma
37	41119.9675	41121.96666	1.99915999999212	ecog_110	conn  1	ecog_h_gamma
38	41119.9675	41121.96666	1.99915999999212	ecog_201	conn  5	ecog_h_gamma
39	41119.9675	41121.96666	1.99915999999212	ecog_202	conn  5	ecog_h_gamma
40	41119.9675	41121.96666	1.99915999999212	ecog_219	conn  6	ecog_h_gamma
41	41119.9675	41121.96666	1.99915999999212	ecog_220	conn  6	ecog_h_gamma
42	41119.9675	41121.96666	1.99915999999212	ecog_222	conn  6	ecog_h_gamma
43	41119.9675	41121.96666	1.99915999999212	ecog_223	conn  6	ecog_h_gamma
44	41119.9675	41121.96666	1.99915999999212	ecog_224	conn  6	ecog_h_gamma
45	41119.9675	41121.96666	1.99915999999212	ecog_240	conn  7	ecog_h_gamma
46	41119.9675	41121.96666	1.99915999999212	ecog_241	conn  7	ecog_h_gamma
47	41119.9675	41121.96666	1.99915999999212	ecog_243	conn  7	ecog_h_gamma
48	41119.9675	41121.96666	1.99915999999212	ecog_244	conn  7	ecog_h_gamma
49	41119.9675	41121.96666	1.99915999999212	ecog_253	conn  8	ecog_h_gamma
50	41119.9675	41121.96666	1.99915999999212	ecog_260	conn  8	ecog_h_gamma
51	41119.9675	41121.96666	1.99915999999212	ecog_261	conn  8	ecog_h_gamma
52	41119.9675	41121.96666	1.99915999999212	ecog_262	conn  8	ecog_h_gamma
53	41123.9645	41126.9645	3	ecog_163	conn  4	ecog_h_gamma
54	41127.9645	41129.9603	1.99580000000424	ecog_238	conn  7	ecog_h_gamma
55	41127.9645	41129.9603	1.99580000000424	ecog_259	conn  8	ecog_h_gamma
