id	starts	ends	duration	label	conn_label	pname
1	40959.9995	41695.9995	736	ecog_157	conn4	ecog_h_gamma
2	40959.9995	40960.9995	1	ecog_158	conn4	ecog_h_gamma
3	40959.9995	40960.9995	1	ecog_159	conn4	ecog_h_gamma
4	40959.9995	41695.9995	736	ecog_161	conn4	ecog_h_gamma
5	40959.9995	40960.9995	1	ecog_216	conn5	ecog_h_gamma
6	40959.9995	41001.9995	42	ecog_258	conn8	ecog_h_gamma
7	40959.9995	40960.9995	1	macro_m	conn0	macro_h_gamma
8	40962.9995	40965.9995	3	ecog_262	conn8	ecog_h_gamma
9	40965	41695.9995	730.999499999991	ecog_160	conn4	ecog_h_gamma
10	40968.9995	40970.9995	2	ecog_131	conn2	ecog_h_gamma
11	40968.9995	40970.9995	2	ecog_132	conn2	ecog_h_gamma
12	40973.9995	40978.9995	5	ecog_257	conn8	ecog_h_gamma
13	40975.9995	40978.9995	3	ecog_122	conn2	ecog_h_gamma
14	40975.9995	40978.9995	3	ecog_148	conn3	ecog_h_gamma
15	40981.9995	40984.9995	3	ecog_123	conn2	ecog_h_gamma
16	40985.9995	40987.9995	2	ecog_246	conn7	ecog_h_gamma
17	40988.9995	40998.9995	10	ecog_122	conn2	ecog_h_gamma
18	40989.9995	40995.9995	6	ecog_126	conn2	ecog_h_gamma
19	40989.9995	40991.9995	2	ecog_206	conn5	ecog_h_gamma
20	40993.9995	40995.9995	2	ecog_125	conn2	ecog_h_gamma
21	40993.9995	40995.9995	2	ecog_147	conn3	ecog_h_gamma
22	40993.9995	40995.9995	2	ecog_148	conn3	ecog_h_gamma
23	40997.9995	41000.9995	3	ecog_248	conn7	ecog_h_gamma
24	40998.9995	41000.9995	2	ecog_216	conn5	ecog_h_gamma
25	40999.9995	41005.9995	6	ecog_101	conn1	ecog_h_gamma
26	41000.9995	41003.9995	3	ecog_247	conn7	ecog_h_gamma
27	41003.9995	41005.9995	2	ecog_159	conn4	ecog_h_gamma
28	41005.9995	41009.9995	4	ecog_123	conn2	ecog_h_gamma
29	41006.9995	41008.9995	2	ecog_105	conn1	ecog_h_gamma
30	41012.9995	41016.9995	4	ecog_148	conn3	ecog_h_gamma
31	41021.9995	41023.9995	2	ecog_260	conn8	ecog_h_gamma
32	41023.9995	41025.9995	2	ecog_155	conn4	ecog_h_gamma
33	41027.9995	41031.9995	4	ecog_122	conn2	ecog_h_gamma
34	41033.9995	41035.9995	2	ecog_241	conn7	ecog_h_gamma
35	41033.9995	41035.9995	2	ecog_262	conn8	ecog_h_gamma
36	41033.9995	41035.9995	2	ecog_263	conn8	ecog_h_gamma
37	41043.9995	41055.9995	12	ecog_122	conn2	ecog_h_gamma
38	41051.9995	41053.9995	2	ecog_147	conn3	ecog_h_gamma
39	41058.9995	41061.9995	3	ecog_123	conn2	ecog_h_gamma
40	41062.9995	41065.9995	3	ecog_142	conn3	ecog_h_gamma
