id	starts	ends	duration	label	conn_label	pname
1	52904.8695	52905.8695	1	ecog_235	conn 7	ecog_gamma_M
2	52904.8695	52905.8695	1	ecog_244	conn 7	ecog_gamma_M
3	52904.8695	52905.8695	1	ecog_245	conn 7	ecog_gamma_M
4	52908.8695	53680.8695	772	ecog_102	conn 1	ecog_gamma_M
5	52908.8695	53680.8695	772	ecog_103	conn 1	ecog_gamma_M
6	52908.8695	52923.8695	15	ecog_123	conn 2	ecog_gamma_M
7	52908.8695	53680.8695	772	ecog_129	conn 2	ecog_gamma_M
8	52908.8695	53680.8695	772	ecog_136	conn 3	ecog_gamma_M
9	52908.8695	53680.8695	772	ecog_140	conn 3	ecog_gamma_M
10	52908.8695	53680.8695	772	ecog_143	conn 3	ecog_gamma_M
11	52908.8695	53680.8695	772	ecog_148	conn 3	ecog_gamma_M
12	52908.8695	53680.8695	772	ecog_159	conn 4	ecog_gamma_M
13	52908.8695	53680.8695	772	ecog_202	conn 5	ecog_gamma_M
14	52908.8695	53680.8695	772	ecog_235	conn 7	ecog_gamma_M
15	52908.8695	53680.8695	772	ecog_244	conn 7	ecog_gamma_M
16	52908.8695	53680.8695	772	ecog_245	conn 7	ecog_gamma_M
17	52909.8695	52914.8695	5	ecog_122	conn 2	ecog_gamma_M
18	52914.8700032932	53680.8695	765.999496706798	ecog_112	conn 1	ecog_gamma_M
19	52914.8700032932	53680.8695	765.999496706798	ecog_222	conn 6	ecog_gamma_M
20	52918.8695	52921.8695	3	ecog_114	conn 1	ecog_gamma_M
21	52920.8695	52924.8695	4	ecog_116	conn 1	ecog_gamma_M
22	52943.8695	52945.8695	2	macro_m	conn 0	macro_gamma_M
23	52945.8695	52947.8695	2	ecog_116	conn 1	ecog_gamma_M
24	52968.8695	52970.8695	2	macro_c	conn 0	macro_gamma_M
25	52984.8695	52986.8695	2	ecog_116	conn 1	ecog_gamma_M
26	52990.8695	52995.8695	5	ecog_111	conn 1	ecog_gamma_M
27	52995.8695	52997.8695	2	ecog_203	conn 5	ecog_gamma_M
28	53003.8695	53005.8695	2	ecog_111	conn 1	ecog_gamma_M
29	53009.8695	53036.8695	27	ecog_121	conn 2	ecog_gamma_M
30	53009.8695	53036.8695	27	ecog_122	conn 2	ecog_gamma_M
31	53016.8695	53021.8695	5	ecog_135	conn 3	ecog_gamma_M
32	53016.8695	53018.8695	2	ecog_263	conn 8	ecog_gamma_M
33	53025.3695	53032.3695	7	ecog_101	conn 1	ecog_gamma_M
34	53025.3695	53032.3695	7	ecog_104	conn 1	ecog_gamma_M
35	53025.3695	53032.3695	7	ecog_105	conn 1	ecog_gamma_M
36	53025.3695	53032.3695	7	ecog_106	conn 1	ecog_gamma_M
37	53025.3695	53032.3695	7	ecog_107	conn 1	ecog_gamma_M
38	53025.3695	53032.3695	7	ecog_108	conn 1	ecog_gamma_M
39	53025.3695	53032.3695	7	ecog_109	conn 1	ecog_gamma_M
40	53025.3695	53032.3695	7	ecog_110	conn 1	ecog_gamma_M
41	53025.3695	53032.8695	7.49999999999272	ecog_111	conn 1	ecog_gamma_M
42	53025.3695	53032.3695	7	ecog_113	conn 1	ecog_gamma_M
43	53025.3695	53032.8695	7.49999999999272	ecog_114	conn 1	ecog_gamma_M
44	53025.3695	53032.3695	7	ecog_115	conn 1	ecog_gamma_M
45	53025.3695	53032.3695	7	ecog_116	conn 1	ecog_gamma_M
46	53026.3695	53036.3695	10	ecog_117	conn 2	ecog_gamma_M
47	53026.3695	53036.3695	10	ecog_118	conn 2	ecog_gamma_M
48	53026.3695	53036.3695	10	ecog_119	conn 2	ecog_gamma_M
49	53026.3695	53036.3695	10	ecog_120	conn 2	ecog_gamma_M
50	53026.3695	53066.8695	40.4999999999927	ecog_123	conn 2	ecog_gamma_M
51	53026.3695	53036.3695	10	ecog_124	conn 2	ecog_gamma_M
52	53026.3695	53036.3695	10	ecog_125	conn 2	ecog_gamma_M
53	53026.3695	53036.3695	10	ecog_126	conn 2	ecog_gamma_M
54	53026.3695	53036.3695	10	ecog_127	conn 2	ecog_gamma_M
55	53026.3695	53037.8695	11.4999999999927	ecog_128	conn 2	ecog_gamma_M
56	53026.3695	53036.3695	10	ecog_130	conn 2	ecog_gamma_M
57	53026.3695	53036.3695	10	ecog_131	conn 2	ecog_gamma_M
58	53026.3695	53036.3695	10	ecog_132	conn 2	ecog_gamma_M
59	53026.8695	53032.8695	6	ecog_209	conn 5	ecog_gamma_M
60	53027.3695	53030.3695	3	V0_con4a	conn 4	ecog_gamma_M
61	53027.3695	53030.3695	3	V0_con8a	conn 8	ecog_gamma_M
62	53027.3695	53031.3695	4	ecog_133	conn 3	ecog_gamma_M
63	53027.3695	53031.3695	4	ecog_134	conn 3	ecog_gamma_M
64	53027.3695	53031.8695	4.49999999999272	ecog_135	conn 3	ecog_gamma_M
65	53027.3695	53031.3695	4	ecog_137	conn 3	ecog_gamma_M
66	53027.3695	53031.3695	4	ecog_138	conn 3	ecog_gamma_M
67	53027.3695	53031.3695	4	ecog_139	conn 3	ecog_gamma_M
68	53027.3695	53031.3695	4	ecog_141	conn 3	ecog_gamma_M
69	53027.3695	53031.3695	4	ecog_142	conn 3	ecog_gamma_M
70	53027.3695	53031.3695	4	ecog_144	conn 3	ecog_gamma_M
71	53027.3695	53031.8695	4.49999999999272	ecog_145	conn 3	ecog_gamma_M
72	53027.3695	53031.3695	4	ecog_146	conn 3	ecog_gamma_M
73	53027.3695	53031.3695	4	ecog_147	conn 3	ecog_gamma_M
74	53027.3695	53030.8695	3.49999999999272	ecog_149	conn 4	ecog_gamma_M
75	53027.3695	53030.8695	3.49999999999272	ecog_150	conn 4	ecog_gamma_M
76	53027.3695	53030.8695	3.49999999999272	ecog_151	conn 4	ecog_gamma_M
77	53027.3695	53030.8695	3.49999999999272	ecog_152	conn 4	ecog_gamma_M
78	53027.3695	53030.8695	3.49999999999272	ecog_153	conn 4	ecog_gamma_M
79	53027.3695	53030.8695	3.49999999999272	ecog_154	conn 4	ecog_gamma_M
80	53027.3695	53030.8695	3.49999999999272	ecog_155	conn 4	ecog_gamma_M
81	53027.3695	53030.8695	3.49999999999272	ecog_156	conn 4	ecog_gamma_M
82	53027.3695	53030.8695	3.49999999999272	ecog_157	conn 4	ecog_gamma_M
83	53027.3695	53030.8695	3.49999999999272	ecog_158	conn 4	ecog_gamma_M
84	53027.3695	53030.8695	3.49999999999272	ecog_160	conn 4	ecog_gamma_M
85	53027.3695	53030.8695	3.49999999999272	ecog_161	conn 4	ecog_gamma_M
86	53027.3695	53030.8695	3.49999999999272	ecog_162	conn 4	ecog_gamma_M
87	53027.3695	53030.8695	3.49999999999272	ecog_163	conn 4	ecog_gamma_M
88	53027.3695	53030.8695	3.49999999999272	ecog_201	conn 5	ecog_gamma_M
89	53027.3695	53030.8695	3.49999999999272	ecog_203	conn 5	ecog_gamma_M
90	53027.3695	53030.8695	3.49999999999272	ecog_204	conn 5	ecog_gamma_M
91	53027.3695	53030.8695	3.49999999999272	ecog_205	conn 5	ecog_gamma_M
92	53027.3695	53030.8695	3.49999999999272	ecog_206	conn 5	ecog_gamma_M
93	53027.3695	53030.8695	3.49999999999272	ecog_207	conn 5	ecog_gamma_M
94	53027.3695	53030.8695	3.49999999999272	ecog_208	conn 5	ecog_gamma_M
95	53027.3695	53030.8695	3.49999999999272	ecog_210	conn 5	ecog_gamma_M
96	53027.3695	53030.8695	3.49999999999272	ecog_211	conn 5	ecog_gamma_M
97	53027.3695	53030.8695	3.49999999999272	ecog_212	conn 5	ecog_gamma_M
98	53027.3695	53030.8695	3.49999999999272	ecog_213	conn 5	ecog_gamma_M
99	53027.3695	53030.8695	3.49999999999272	ecog_214	conn 5	ecog_gamma_M
100	53027.3695	53030.8695	3.49999999999272	ecog_215	conn 5	ecog_gamma_M
101	53027.3695	53030.8695	3.49999999999272	ecog_216	conn 5	ecog_gamma_M
102	53027.3695	53030.8695	3.49999999999272	ecog_217	conn 6	ecog_gamma_M
103	53027.3695	53030.8695	3.49999999999272	ecog_218	conn 6	ecog_gamma_M
104	53027.3695	53030.8695	3.49999999999272	ecog_219	conn 6	ecog_gamma_M
105	53027.3695	53030.8695	3.49999999999272	ecog_220	conn 6	ecog_gamma_M
106	53027.3695	53030.8695	3.49999999999272	ecog_221	conn 6	ecog_gamma_M
107	53027.3695	53030.8695	3.49999999999272	ecog_223	conn 6	ecog_gamma_M
108	53027.3695	53030.8695	3.49999999999272	ecog_224	conn 6	ecog_gamma_M
109	53027.3695	53030.8695	3.49999999999272	ecog_225	conn 6	ecog_gamma_M
110	53027.3695	53030.8695	3.49999999999272	ecog_226	conn 6	ecog_gamma_M
111	53027.3695	53030.8695	3.49999999999272	ecog_227	conn 6	ecog_gamma_M
112	53027.3695	53030.8695	3.49999999999272	ecog_228	conn 6	ecog_gamma_M
113	53027.3695	53030.8695	3.49999999999272	ecog_229	conn 6	ecog_gamma_M
114	53027.3695	53030.8695	3.49999999999272	ecog_230	conn 6	ecog_gamma_M
115	53027.3695	53030.8695	3.49999999999272	ecog_231	conn 6	ecog_gamma_M
116	53027.3695	53030.8695	3.49999999999272	ecog_232	conn 6	ecog_gamma_M
