subject	name	electrode_type	wav_freq	wav_width	env_bin_size	env_mult_factor	th_fix_min	th_fix_max	th_factor_std_low	th_factor_std_high	th_consolidation	th_frac_coverage	th_conn_low	th_conn_high
default	ecog_delta	ecog	3	9	1	1	5	10	1.5	2	3	0.5	4	8
default	ecog_theta	ecog	6	9	1	1	5	10	1.5	2.5	3	0.5	4	8
default	ecog_alpha	ecog	10	9	1	1	5	10	1.5	3	3	0.5	4	8
default	ecog_beta	ecog	21	9	1	1	5	10	1.5	3	3	0.5	4	8
default	ecog_gamma_L	ecog	45	9	1	1	5	9	1.5	3	3	0.5	4	8
default	ecog_gamma_H	ecog	160	9	1	1	5	8	1.5	3	3	0.5	4	8
default	macro_delta	macro	3	9	1	1	7	11	1.5	2.5	3	0.5	2	3
default	macro_theta	macro 	6	9	1	1	7	11	1.5	2.5	3	0.5	2	3
default	macro_alpha	macro	10	9	1	1	7	11	1.5	3	3	0.5	2	3
default	macro_beta	macro	21	9	1	1	7	11	1.5	3	3	0.5	2	3
default	macro_delta_inv	macro	3	9	1	-1	-11	-7	2.5	4	3	0.5	2	3
default	macro_theta_inv	macro 	6	9	1	-1	-11	-7	2.5	4	3	0.5	2	3
default	macro_alpha_inv	macro	10	9	1	-1	-11	-7	2.5	4	3	0.5	2	3
default	macro_beta_inv	macro	21	9	1	-1	-11	-7	2.5	4	3	0.5	2	3
default	dbs_delta	dbs	3	9	1	1	5	9.5	1.5	2.5	3	0.5	3	4
default	dbs_theta	dbs	6	9	1	1	5	9.5	1.5	2.5	3	0.5	3	4
default	dbs_alpha	dbs	10	9	1	1	5	9.5	1.5	3	3	0.5	3	4
default	dbs_beta	dbs	21	9	1	1	5	9.5	1.5	3	3	0.5	3	4
DBS3022	dbs_delta	dbs	3	9	1	1	6	12	1.5	2.5	3	0.5	3	4
DBS3022	dbs_theta	dbs	6	9	1	1	6	12	1.5	2.5	3	0.5	3	4
DBS3022	dbs_alpha	dbs	10	9	1	1	6	12	1.5	3	3	0.5	3	4
DBS3022	dbs_beta	dbs	21	9	1	1	6	12	1.5	3	3	0.5	3	4
DBS3024	dbs_beta	dbs	21	9	1	1	5	9.5	1.5	4	3	0.5	3	4
