id	starts	ends	duration	label	conn_label	pname
1	61086.9985	61590.9985	504	ecog_242	conn  7	ecog_h_gamma
2	61086.9985	61087.9985	1	ecog_262	conn  8	ecog_h_gamma
3	61086.9985	61590.9985	504	ecog_263	conn  8	ecog_h_gamma
4	61086.9985	61087.9985	1	macro_c	conn  0	macro_h_gamma
5	61087.9985	61094.9985	7	ecog_102	conn  1	ecog_h_gamma
6	61087.9985	61094.9985	7	ecog_103	conn  1	ecog_h_gamma
7	61087.9985	61095.9985	8	ecog_104	conn  1	ecog_h_gamma
8	61087.9985	61094.9985	7	ecog_105	conn  1	ecog_h_gamma
9	61087.9985	61090.9985	3	ecog_121	conn  2	ecog_h_gamma
10	61087.9985	61094.9985	7	ecog_123	conn  2	ecog_h_gamma
11	61087.9985	61094.9985	7	ecog_124	conn  2	ecog_h_gamma
12	61087.9985	61094.9985	7	ecog_125	conn  2	ecog_h_gamma
13	61087.9985	61094.9985	7	ecog_126	conn  2	ecog_h_gamma
14	61087.9985	61090.9985	3	ecog_143	conn  3	ecog_h_gamma
15	61087.9985	61090.9985	3	ecog_144	conn  3	ecog_h_gamma
16	61087.9985	61090.9985	3	ecog_145	conn  3	ecog_h_gamma
17	61087.9985	61090.9985	3	ecog_146	conn  3	ecog_h_gamma
18	61087.9985	61094.9985	7	ecog_147	conn  3	ecog_h_gamma
19	61087.9985	61090.9985	3	ecog_162	conn  4	ecog_h_gamma
20	61087.9985	61090.9985	3	ecog_163	conn  4	ecog_h_gamma
21	61087.9985	61090.9985	3	ecog_210	conn  5	ecog_h_gamma
22	61087.9985	61095.9985	8	ecog_211	conn  5	ecog_h_gamma
23	61087.9985	61090.9985	3	ecog_213	conn  5	ecog_h_gamma
24	61087.9985	61094.9985	7	ecog_215	conn  5	ecog_h_gamma
25	61087.9985	61590.9985	503	ecog_220	conn  6	ecog_h_gamma
26	61087.9985	61090.9985	3	ecog_222	conn  6	ecog_h_gamma
27	61091.9985	61094.9985	3	ecog_127	conn  2	ecog_h_gamma
28	61092.9985	61096.9985	4	ecog_101	conn  1	ecog_h_gamma
29	61092.9985	61094.9985	2	ecog_106	conn  1	ecog_h_gamma
30	61092.9985	61094.9985	2	ecog_122	conn  2	ecog_h_gamma
31	61092.9985	61094.9985	2	ecog_148	conn  3	ecog_h_gamma
32	61092.9985	61094.9985	2	ecog_212	conn  5	ecog_h_gamma
33	61101.9985	61103.9985	2	ecog_155	conn  4	ecog_h_gamma
34	61102.9985	61107.9985	5	ecog_117	conn  2	ecog_h_gamma
35	61102.9985	61104.9985	2	ecog_150	conn  4	ecog_h_gamma
36	61108.9985	61110.9985	2	ecog_214	conn  5	ecog_h_gamma
37	61114.9985	61116.9985	2	macro_m	conn  0	macro_h_gamma
38	61117.9985	61119.9985	2	ecog_207	conn  5	ecog_h_gamma
39	61118.9985	61128.9985	10	ecog_110	conn  1	ecog_h_gamma
40	61118.9985	61126.9985	8	ecog_131	conn  2	ecog_h_gamma
41	61118.9985	61125.9985	7	ecog_132	conn  2	ecog_h_gamma
42	61118.9985	61121.9985	3	ecog_153	conn  4	ecog_h_gamma
43	61119.9985	61123.9985	4	ecog_104	conn  1	ecog_h_gamma
44	61120.9985	61123.9985	3	ecog_101	conn  1	ecog_h_gamma
45	61120.9985	61123.9985	3	ecog_123	conn  2	ecog_h_gamma
46	61120.9985	61123.9985	3	ecog_124	conn  2	ecog_h_gamma
47	61121.9985	61123.9985	2	ecog_103	conn  1	ecog_h_gamma
48	61121.9985	61125.9985	4	ecog_127	conn  2	ecog_h_gamma
49	61121.9985	61123.9985	2	ecog_148	conn  3	ecog_h_gamma
50	61124.9985	61127.9985	3	ecog_121	conn  2	ecog_h_gamma
51	61125.9985	61127.9985	2	ecog_260	conn  8	ecog_h_gamma
52	61128.9985	61136.9985	8	ecog_146	conn  3	ecog_h_gamma
53	61136.9985	61142.9985	6	ecog_131	conn  2	ecog_h_gamma
54	61139.9985	61142.9985	3	ecog_109	conn  1	ecog_h_gamma
55	61144.9985	61147.9985	3	ecog_146	conn  3	ecog_h_gamma
56	61155.9985	61159.9985	4	ecog_140	conn  3	ecog_h_gamma
57	61157.9985	61161.9985	4	ecog_101	conn  1	ecog_h_gamma
58	61157.9985	61160.9985	3	ecog_103	conn  1	ecog_h_gamma
59	61157.9985	61160.9985	3	ecog_104	conn  1	ecog_h_gamma
60	61157.9985	61159.9985	2	ecog_122	conn  2	ecog_h_gamma
61	61157.9985	61159.9985	2	ecog_123	conn  2	ecog_h_gamma
62	61157.9985	61159.9985	2	ecog_124	conn  2	ecog_h_gamma
63	61158.9985	61161.9985	3	ecog_132	conn  2	ecog_h_gamma
64	61164.9985	61169.9985	5	ecog_132	conn  2	ecog_h_gamma
65	61167.9985	61169.9985	2	ecog_126	conn  2	ecog_h_gamma
66	61172.9985	61189.9985	17	ecog_153	conn  4	ecog_h_gamma
67	61173.9985	61177.9985	4	ecog_111	conn  1	ecog_h_gamma
68	61173.9985	61177.9985	4	ecog_131	conn  2	ecog_h_gamma
69	61180.9985	61185.9985	5	ecog_110	conn  1	ecog_h_gamma
70	61185.9985	61190.9985	5	ecog_108	conn  1	ecog_h_gamma
71	61194.9985	61197.9985	3	ecog_257	conn  8	ecog_h_gamma
72	61197.9985	61199.9985	2	ecog_162	conn  4	ecog_h_gamma
73	61197.9985	61199.9985	2	ecog_163	conn  4	ecog_h_gamma
74	61201.9985	61203.9985	2	ecog_110	conn  1	ecog_h_gamma
75	61201.9985	61206.9985	5	ecog_131	conn  2	ecog_h_gamma
76	61208.9985	61210.9985	2	ecog_153	conn  4	ecog_h_gamma
77	61214.9985	61217.9985	3	ecog_104	conn  1	ecog_h_gamma
78	61214.9985	61224.9985	10	ecog_132	conn  2	ecog_h_gamma
79	61229.9985	61236.9985	7	ecog_155	conn  4	ecog_h_gamma
80	61244.9985	61255.9985	11	ecog_110	conn  1	ecog_h_gamma
81	61245.9985	61256.9985	11	ecog_132	conn  2	ecog_h_gamma
82	61250.9985	61254.9985	4	ecog_126	conn  2	ecog_h_gamma
83	61250.9985	61255.9985	5	ecog_127	conn  2	ecog_h_gamma
84	61251.9985	61254.9985	3	ecog_101	conn  1	ecog_h_gamma
85	61251.9985	61254.9985	3	ecog_103	conn  1	ecog_h_gamma
86	61251.9985	61254.9985	3	ecog_104	conn  1	ecog_h_gamma
87	61251.9985	61254.9985	3	ecog_123	conn  2	ecog_h_gamma
88	61251.9985	61254.9985	3	ecog_124	conn  2	ecog_h_gamma
89	61259.9985	61262.9985	3	ecog_110	conn  1	ecog_h_gamma
90	61259.9985	61262.9985	3	ecog_132	conn  2	ecog_h_gamma
91	61261.9985	61267.9985	6	ecog_104	conn  1	ecog_h_gamma
92	61261.9985	61267.9985	6	ecog_124	conn  2	ecog_h_gamma
93	61264.9985	61267.9985	3	ecog_126	conn  2	ecog_h_gamma
94	61265.9985	61267.9985	2	ecog_101	conn  1	ecog_h_gamma
95	61265.9985	61267.9985	2	ecog_103	conn  1	ecog_h_gamma
96	61265.9985	61267.9985	2	ecog_122	conn  2	ecog_h_gamma
97	61265.9985	61267.9985	2	ecog_123	conn  2	ecog_h_gamma
98	61265.9985	61267.9985	2	ecog_127	conn  2	ecog_h_gamma
99	61265.9985	61267.9985	2	ecog_145	conn  3	ecog_h_gamma
100	61265.9985	61267.9985	2	ecog_147	conn  3	ecog_h_gamma
101	61273.9985	61275.9985	2	ecog_126	conn  2	ecog_h_gamma
102	61274.9985	61277.9985	3	ecog_110	conn  1	ecog_h_gamma
103	61279.9985	61282.9985	3	ecog_155	conn  4	ecog_h_gamma
104	61280.9985	61282.9985	2	ecog_103	conn  1	ecog_h_gamma
105	61282.9985	61285.9985	3	ecog_132	conn  2	ecog_h_gamma
106	61284.9985	61289.9985	5	ecog_127	conn  2	ecog_h_gamma
107	61286.9985	61291.9985	5	ecog_101	conn  1	ecog_h_gamma
108	61286.9985	61296.9985	10	ecog_102	conn  1	ecog_h_gamma
109	61286.9985	61289.9985	3	ecog_103	conn  1	ecog_h_gamma
110	61286.9985	61289.9985	3	ecog_104	conn  1	ecog_h_gamma
111	61286.9985	61289.9985	3	ecog_105	conn  1	ecog_h_gamma
112	61286.9985	61289.9985	3	ecog_106	conn  1	ecog_h_gamma
113	61286.9985	61289.9985	3	ecog_122	conn  2	ecog_h_gamma
114	61286.9985	61289.9985	3	ecog_123	conn  2	ecog_h_gamma
115	61286.9985	61289.9985	3	ecog_124	conn  2	ecog_h_gamma
116	61286.9985	61289.9985	3	ecog_125	conn  2	ecog_h_gamma
117	61286.9985	61289.9985	3	ecog_126	conn  2	ecog_h_gamma
118	61286.9985	61289.9985	3	ecog_147	conn  3	ecog_h_gamma
119	61286.9985	61289.9985	3	ecog_148	conn  3	ecog_h_gamma
120	61286.9985	61289.9985	3	ecog_149	conn  4	ecog_h_gamma
121	61286.9985	61289.9985	3	ecog_211	conn  5	ecog_h_gamma
122	61287.9985	61290.9985	3	ecog_156	conn  4	ecog_h_gamma
123	61288.9985	61290.9985	2	ecog_130	conn  2	ecog_h_gamma
124	61289.9985	61293.9985	4	ecog_153	conn  4	ecog_h_gamma
125	61296.9985	61301.9985	5	ecog_132	conn  2	ecog_h_gamma
126	61311.9985	61316.9985	5	ecog_260	conn  8	ecog_h_gamma
127	61312.9985	61315.9985	3	ecog_132	conn  2	ecog_h_gamma
128	61317.9985	61322.9985	5	ecog_101	conn  1	ecog_h_gamma
129	61317.9985	61320.9985	3	ecog_102	conn  1	ecog_h_gamma
130	61317.9985	61322.9985	5	ecog_103	conn  1	ecog_h_gamma
131	61317.9985	61322.9985	5	ecog_104	conn  1	ecog_h_gamma
132	61317.9985	61322.9985	5	ecog_105	conn  1	ecog_h_gamma
133	61317.9985	61322.9985	5	ecog_106	conn  1	ecog_h_gamma
134	61317.9985	61322.9985	5	ecog_122	conn  2	ecog_h_gamma
135	61317.9985	61322.9985	5	ecog_123	conn  2	ecog_h_gamma
136	61317.9985	61322.9985	5	ecog_124	conn  2	ecog_h_gamma
137	61317.9985	61322.9985	5	ecog_125	conn  2	ecog_h_gamma
138	61317.9985	61322.9985	5	ecog_126	conn  2	ecog_h_gamma
139	61317.9985	61323.9985	6	ecog_127	conn  2	ecog_h_gamma
140	61317.9985	61322.9985	5	ecog_147	conn  3	ecog_h_gamma
141	61317.9985	61322.9985	5	ecog_148	conn  3	ecog_h_gamma
142	61317.9985	61320.9985	3	ecog_211	conn  5	ecog_h_gamma
143	61331.9985	61333.9985	2	ecog_110	conn  1	ecog_h_gamma
144	61336.9985	61345.9985	9	ecog_132	conn  2	ecog_h_gamma
145	61342.9985	61345.9985	3	ecog_110	conn  1	ecog_h_gamma
146	61345.9985	61348.9985	3	ecog_153	conn  4	ecog_h_gamma
147	61351.9985	61353.9985	2	macro_m	conn  0	macro_h_gamma
148	61365.9985	61375.9985	10	macro_c	conn  0	macro_h_gamma
149	61368.9985	61371.9985	3	ecog_110	conn  1	ecog_h_gamma
150	61368.9985	61371.9985	3	ecog_111	conn  1	ecog_h_gamma
151	61378.9985	61386.9985	8	ecog_132	conn  2	ecog_h_gamma
152	61385.9985	61388.9985	3	ecog_150	conn  4	ecog_h_gamma
153	61404.9985	61413.9985	9	ecog_132	conn  2	ecog_h_gamma
154	61421.9985	61423.9985	2	ecog_105	conn  1	ecog_h_gamma
155	61427.9985	61435.9985	8	ecog_132	conn  2	ecog_h_gamma
156	61440.9985	61442.9985	2	macro_c	conn  0	macro_h_gamma
157	61442.9985	61444.9985	2	ecog_215	conn  5	ecog_h_gamma
158	61444.9985	61463.9985	19	ecog_132	conn  2	ecog_h_gamma
159	61448.9985	61450.9985	2	macro_c	conn  0	macro_h_gamma
160	61459.9985	61465.9985	6	ecog_116	conn  1	ecog_h_gamma
161	61466.9985	61471.9985	5	ecog_260	conn  8	ecog_h_gamma
162	61468.9985	61590.9985	122	ecog_262	conn  8	ecog_h_gamma
163	61491.9985	61495.9985	4	ecog_132	conn  2	ecog_h_gamma
164	61494.9985	61497.9985	3	macro_m	conn  0	macro_h_gamma
165	61496.9985	61501.9985	5	ecog_118	conn  2	ecog_h_gamma
166	61512.9985	61514.9985	2	ecog_131	conn  2	ecog_h_gamma
167	61518.9985	61525.9985	7	ecog_131	conn  2	ecog_h_gamma
168	61521.9985	61532.9985	11	ecog_260	conn  8	ecog_h_gamma
169	61522.9985	61524.9985	2	ecog_120	conn  2	ecog_h_gamma
170	61522.9985	61524.9985	2	ecog_147	conn  3	ecog_h_gamma
171	61522.9985	61524.9985	2	macro_m	conn  0	macro_h_gamma
172	61525.9985	61528.9985	3	ecog_213	conn  5	ecog_h_gamma
173	61531.9985	61534.9985	3	ecog_110	conn  1	ecog_h_gamma
174	61532.9985	61534.9985	2	ecog_208	conn  5	ecog_h_gamma
175	61533.9985	61540.9985	7	macro_c	conn  0	macro_h_gamma
176	61539.9985	61547.9985	8	ecog_157	conn  4	ecog_h_gamma
177	61547.9985	61552.9985	5	ecog_155	conn  4	ecog_h_gamma
178	61556.9985	61559.9985	3	ecog_236	conn  7	ecog_h_gamma
179	61568.9985	61571.9985	3	ecog_211	conn  5	ecog_h_gamma
180	61588.9985	61590.9985	2	macro_c	conn  0	macro_h_gamma
181	61824.9985	62524.9985	700	ecog_220	conn  6	ecog_h_gamma
182	61824.9985	61829.9985	5	ecog_242	conn  7	ecog_h_gamma
183	61824.9985	61825.9985	1	ecog_262	conn  8	ecog_h_gamma
184	61824.9985	62524.9985	700	ecog_263	conn  8	ecog_h_gamma
185	61834.9985	62524.9985	690	ecog_242	conn  7	ecog_h_gamma
186	61835	62524.9985	689.998500000009	ecog_262	conn  8	ecog_h_gamma
187	61843.9985	61846.9985	3	ecog_103	conn  1	ecog_h_gamma
188	61847.9985	61852.9985	5	ecog_132	conn  2	ecog_h_gamma
189	61851.9985	61853.9985	2	macro_c	conn  0	macro_h_gamma
190	61861.9985	61863.9985	2	ecog_241	conn  7	ecog_h_gamma
191	61866.9985	61869.9985	3	ecog_118	conn  2	ecog_h_gamma
192	61869.9985	61874.9985	5	ecog_132	conn  2	ecog_h_gamma
193	61879.9985	61893.9985	14	ecog_132	conn  2	ecog_h_gamma
194	61884.9985	61888.9985	4	ecog_260	conn  8	ecog_h_gamma
195	61893.9985	61896.9985	3	ecog_104	conn  1	ecog_h_gamma
196	61894.9985	61897.9985	3	ecog_101	conn  1	ecog_h_gamma
197	61894.9985	61896.9985	2	ecog_103	conn  1	ecog_h_gamma
198	61894.9985	61896.9985	2	ecog_105	conn  1	ecog_h_gamma
199	61894.9985	61896.9985	2	ecog_122	conn  2	ecog_h_gamma
200	61894.9985	61896.9985	2	ecog_123	conn  2	ecog_h_gamma
201	61894.9985	61896.9985	2	ecog_124	conn  2	ecog_h_gamma
202	61894.9985	61896.9985	2	ecog_126	conn  2	ecog_h_gamma
203	61894.9985	61896.9985	2	ecog_127	conn  2	ecog_h_gamma
204	61894.9985	61896.9985	2	ecog_148	conn  3	ecog_h_gamma
205	61906.9985	61910.9985	4	ecog_105	conn  1	ecog_h_gamma
206	61907.9985	61909.9985	2	macro_c	conn  0	macro_h_gamma
207	61911.9985	61913.9985	2	ecog_257	conn  8	ecog_h_gamma
208	61926.9985	61928.9985	2	ecog_241	conn  7	ecog_h_gamma
209	61930.9985	61939.9985	9	ecog_132	conn  2	ecog_h_gamma
210	61943.9985	61947.9985	4	ecog_119	conn  2	ecog_h_gamma
211	61950.9985	61954.9985	4	ecog_132	conn  2	ecog_h_gamma
212	61970.9985	61974.9985	4	ecog_132	conn  2	ecog_h_gamma
213	61976.9985	61981.9985	5	ecog_118	conn  2	ecog_h_gamma
214	61976.9985	61979.9985	3	ecog_155	conn  4	ecog_h_gamma
215	61980.9985	61983.9985	3	ecog_212	conn  5	ecog_h_gamma
216	62002.9985	62004.9985	2	ecog_208	conn  5	ecog_h_gamma
217	62014.9985	62017.9985	3	ecog_130	conn  2	ecog_h_gamma
218	62021.9985	62024.9985	3	ecog_132	conn  2	ecog_h_gamma
219	62038.9985	62040.9985	2	ecog_162	conn  4	ecog_h_gamma
220	62038.9985	62040.9985	2	ecog_163	conn  4	ecog_h_gamma
221	62041.9985	62045.9985	4	ecog_210	conn  5	ecog_h_gamma
222	62042.9985	62047.9985	5	ecog_132	conn  2	ecog_h_gamma
223	62043.9985	62046.9985	3	ecog_260	conn  8	ecog_h_gamma
224	62078.9985	62080.9985	2	macro_c	conn  0	macro_h_gamma
