Row	stim	GroupCount	mean_syl_ons2ons_1	mean_syl_ons2ons_2	std_syl_ons2ons_1	std_syl_ons2ons_2	min_syl_ons2ons_1	min_syl_ons2ons_2	max_syl_ons2ons_1	max_syl_ons2ons_2	range_syl_ons2ons_1	range_syl_ons2ons_2
ghahseetoo	ghahseetoo	50	0.402773829984792	0.873244410241058	0.0163738343524205	0.0314451355352029	0.374360224595875	0.841105634994165	0.434393558003649	0.941205634997459	0.0600333334077732	0.100100000003295
ghahsootee	ghahsootee	101	0.405742825613166	0.865057363121237	0.0168715914059445	0.0296677239144061	0.380653822394379	0.833791376993759	0.440753822302213	0.933891377004329	0.060099999907834	0.100100000010571
ghahsoovah	ghahsoovah	55	0.407540859313805	0.871303364923757	0.0174774866653422	0.033065208695981	0.380687155586202	0.837633553703199	0.440753822302213	0.93776688700018	0.0600666667160112	0.100133333296981
ghahsoovee	ghahsoovee	45	0.406160964640332	0.869328673515652	0.0140182374067	0.0255884283097273	0.380587157400441	0.840619577000325	0.440720484002668	0.940752907001297	0.0601333266022266	0.100133330000972
ghahtahvoo	ghahtahvoo	57	0.401636704180674	0.858093622226877	0.0176275065443077	0.0310485184755136	0.376774716001819	0.828259704299853	0.43687471600424	0.928326371002186	0.0601000000024214	0.100066666702332
ghahteesoo	ghahteesoo	98	0.400577835104059	0.870882137247404	0.0207010195125553	0.0288650995732854	0.370724710301147	0.83462048900401	0.533824710299086	0.940720489001251	0.163099999997939	0.106099999997241
ghahteevee	ghahteevee	56	0.400149558692779	0.875092310694427	0.0203494312706524	0.0338247232606506	0.373858043603832	0.840619583701482	0.493824710298213	0.980686250302824	0.119966666694381	0.140066666601342
ghahteevoo	ghahteevoo	62	0.400336932499579	0.858594148669395	0.0169484151896022	0.0325571602233525	0.373791377001908	0.819659704298829	0.433924710298015	0.928293040997232	0.0601333332961076	0.108633336698404
ghahtoosee	ghahtoosee	158	0.407558323067035	0.865757858883621	0.0178727174178159	0.030896671786532	0.381105634995038	0.834260224699392	0.481138968396408	0.934393561299657	0.10003333340137	0.100133336600265
ghahtoovee	ghahtoovee	50	0.406805634867142	0.873562250066734	0.0168794889501887	0.0314949632907692	0.381072299998777	0.840586247002648	0.441205635004735	0.940752917005739	0.0601333350059576	0.100166670003091
ghahveesoo	ghahveesoo	58	0.407412440746843	0.874214536497813	0.0173358143486116	0.0330263247727748	0.380719581997255	0.840620488997956	0.440752918599173	0.940720489001251	0.0600333366019186	0.100100000003295
ghahveetoo	ghahveetoo	36	0.402943657639803	0.866721321074639	0.012221740147526	0.0198884832769225	0.380686250304279	0.841138968302403	0.44075291199988	0.941205625000293	0.0600666616956005	0.100066656697891
ghahveevah	ghahveevah	56	0.407637159365959	0.872155775830307	0.0177319688201865	0.0325551610944679	0.380686250297003	0.837666886989609	0.440752918701037	0.93776688700018	0.0600666684040334	0.100100000010571
ghahvooghoo	ghahvooghoo	42	0.388709166593476	0.915623001413969	0.0197198731620443	0.0332184135480954	0.359726371003489	0.882544298001449	0.428326371002186	0.982610964696505	0.0685999999986961	0.100066666695056
ghahvoosee	ghahvoosee	36	0.389517799523518	0.861184986482736	0.0145765032604274	0.0215392377223083	0.359759701001167	0.834293551299197	0.428293032702641	0.93439354810107	0.0685333317014738	0.100099996801873
ghahvoovee	ghahvoovee	37	0.388932677221149	0.863121385295263	0.0140501231084826	0.0223009752003736	0.368193037698802	0.840619583701482	0.428293032695365	0.940719573700335	0.0600999949965626	0.100099989998853
gheeghahsah	gheeghahsah	47	0.492469001080874	0.891343000101049	0.0179663394629331	0.0313131733199832	0.463866827296442	0.861877782997908	0.527033493999625	0.961977783001203	0.0631666667031823	0.100100000003295
gheeghahvah	gheeghahvah	63	0.49230016047146	0.898287265863652	0.0172104468326194	0.0348623417018722	0.46386682730008	0.864667044399539	0.527033493999625	1.04473371430504	0.0631666666995443	0.1800666699055
gheeghoosah	gheeghoosah	61	0.477669628559759	0.896958054761816	0.0166776777242858	0.0310934911504586	0.449611125302908	0.861877783005184	0.509677792004368	0.961977783001203	0.0600666667014593	0.100099999996019
gheesahtoo	gheesahtoo	56	0.427996301460566	0.907877400481451	0.0191000365785433	0.038710707395963	0.381977782999456	0.868139129001065	0.461977783001203	1.03817246230028	0.0800000000017462	0.170033333299216
gheesahvoo	gheesahvoo	106	0.428927129309012	0.887041564154058	0.0178481259066166	0.0359535923354713	0.401911116299743	0.846659864997491	0.47197778300324	1.00665986500098	0.0700666667034966	0.160000000003492
gheeseeghah	gheeseeghah	37	0.423889088944735	0.950299234550382	0.0131741465903546	0.0221735105894526	0.391393718600739	0.916966827295255	0.46142704700469	1.0270001507015	0.0700333284039516	0.110033323406242
gheeseetoo	gheeseetoo	57	0.42821856700175	0.899468219605081	0.0170223604006856	0.0290209873335843	0.401393717002065	0.868139129001065	0.481327052002598	0.968205795703398	0.0799333350005327	0.100066666702332
gheesootee	gheesootee	52	0.432953316193016	0.891118988384956	0.0167328272771005	0.031417629081948	0.407653982998454	0.860791537699697	0.467753983000875	0.960891537702992	0.0601000000024214	0.100100000003295
gheetahsoo	gheetahsoo	56	0.43369063417741	0.90478125560168	0.0230539616161588	0.0338269839455463	0.403808209994168	0.867653982990305	0.543841543301824	0.987687316301162	0.140033333307656	0.120033333310857
gheetahtee	gheetahtee	38	0.425495597302133	0.887883429381406	0.0140437610013702	0.0266576201061224	0.403808209994168	0.860791537699697	0.463908204998006	0.960924860999512	0.0600999950038386	0.100133323299815
gheetahvoo	gheetahvoo	35	0.425995078621561	0.879270976006162	0.0129361562975196	0.0231396759245782	0.403841543302406	0.855226531697554	0.463908204998006	0.955326521703682	0.0600666616956005	0.100099990006129
gheetoovah	gheetoovah	42	0.431444128658859	0.894979242129477	0.0130873762940709	0.0320549988948209	0.408139129001938	0.86470038099651	0.468205790697539	1.024700381	0.0600666616956005	0.160000000003492
gheevahsoo	gheevahsoo	44	0.429058520377429	0.898142077914664	0.0174497147612768	0.0296741608810848	0.404767047701171	0.867653982997581	0.464800380999804	0.967753983000875	0.0600333332986338	0.100100000003295
